paper_id,title,abstract,llm_relevant,llm_reasoning,human_decision,human_notes
50397,Social care stakeholders' perceptions of the recruitment of international practitioners in the United Kingdom-a qualitative study,"Mobility of labour is common within Europe and globally, particularly in social and health care. This article examines the findings from a qualitative study of 15 expert or stakeholder views that explored supply and demand factors in international social care staff recruitment to the United Kingdom (UK). Findings are that international social care workers have a better reputation and are perceived as being harder workers, more productive, more reliable, more focused and more likely to stay in a post longer than local workers. However, there is also the perception that employment in social care is a stepping-stone into other forms of employment both in the UK and when returning to home countries, through access to training, experience and improved job opportunities. The impact of migration policies on the composition of international workers is further noted because greater numbers of social care staff are coming to the UK from the European Union and fewer from Commonwealth states. Changes in the profile of international workers are discussed, with a need identified to address cultural and language differences to ensure good outcomes for service users.",True,"The paper explicitly examines the recruitment, employment patterns, and stakeholder perceptions of international social care workers in the UK, directly addressing labor migration for employment in a specific occupational sector.",TRUE,
36259,Moral Panic and Social Justice: A Guide for Analyzing Social Problems,"Professional social work has long been concerned with social justice, social policy, and the relationship between social treatment and social control. However, at times, potential threats to social cohesion become exaggerated in the service of supporting suppressive policies. British sociologist Stanley Cohen referred to such periods as moral panics, which assign unwarranted blame and stigma to sociopolitically weaker, unpopular groups. By constructing those associated with a given social problem as deviant and downplaying underlying structural causes, moral panics foster the enactment of social policies that entrench social disparity and injustice. Understanding how moral panics influence perceptions of social problems and resultant policies will enable social workers to identify whether particular societal groups are unjustly targeted. By synthesizing theoretical and empirical literature on moral panics in U.S. policy arenas relevant to social workers (such as illicit drugs, sexuality, and immigration), this article offers guidance for practitioners, policy advocates, and researchers on assessing their presence.",False,"The paper is a general theoretical guide about moral panics in social work that mentions immigration only briefly as one of several policy arenas (along with drugs and sexuality), without substantive focus on work, labor conditions, or migrant workers specifically.",FALSE,
20192,An Exploratory Study of HIV Prevention with Mexican/Latino Migrant Day Laborers,"The purpose of this exploratory study was to develop, implement, and evaluate a pilot HIV prevention intervention with one of themostmobile of U.S.-Mexico transborder populations: Mexican/Latino migrant day laborers (MDLs). Intervention development was informed by preliminary research that included an HIV risk survey of over a hundred MDLs, and a focus group to explore the topic of HIV in the lives of MDLs. Both quantitative and qualitative methods were used to evaluate the intervention, and to identify some of the contextual characteristics of HIV risk factors in the MDL experience. For example, the most frequent theme revealed by qualitative analysis was the stressful and vulnerable state of desesperacion [desperation], resulting from earning too little money, that participants linked to deviating from their migration goals and succumbing to alcohol and drug use, and risky sex. While empirical results are limited by the small sample of convenience (N = 23), lack of a control group, and loss of about half of the sample by one month follow-up evaluation, findings were encouragingly consistent with intervention goals: Post-intervention data revealed what appear to be substantial gains in carrying condoms (e.g., from 43% to 83%) as well as in knowledge of proper condom use. Further, frequency of sex with risky sex partners decreased in general, while condom use was reported for all sexual encounters assessed during post-evaluation. The theoretical framework used to guide the intervention, a hybrid of the Health Belief Model and Friere's model of participatory education, included visual triggers composed of customized Mexican lottery game cards to elicit discussion of HIV risk and prevention in the MDL experience. (C) 2006 by The Haworth Press, Inc. All rights reserved.",True,"The paper explicitly focuses on Mexican/Latino migrant day laborers, a specific migrant worker occupation, examining their working conditions (earning too little money, stressful labor experiences) and developing a health intervention tailored to this population's labor migration context.",TRUE,
101447,Immigrants’ experiences of the importance and value of work in Norway: Implications for social work,"In Norway, integration of immigrants through gainful employment is a prevailing idea in integrational measures. There is, however, a lack of knowledge on immigrants’ lived experiences on the issue of work. This study examines how immigrants experience the importance of work, and how they perceive the value of work. Data were collected by nine qualitative semi-structured interviews with ten immigrants and underwent an interpretative phenomenological analysis. The findings provide the field of social work with important knowledge pertinent for professional practice. The participants considered work to be important and valuable. To the participants working represented self-sufficiency as well as financial independence. They linked work with a positive identity in society as they believed they were perceived positively by native Norwegians when they had regular work. Participants who obtained education prior to arriving in Norway had a wider variety of options when searching for work compared to those who lacked formal credentials.",True,"The paper substantively addresses immigrants' experiences of work, employment, and job searching, fitting the criteria for labor experiences of immigrant workers, though it frames these within an integration context.",TRUE,
60239,Educational Services for Unaccompanied Immigrant Children in the United States,"Some unaccompanied children (UC) who migrate to the United States (US) receive post-release services (PRS) to help them adjust to the US and access community-based supports. Upon their arrival to the US, UC discuss their need(s) with their PRS caseworker in order to identify their primary needs. This study examines factors associated with UC who reported education services as a primary PRS need. The sample is based on administrative data shared by a major nonprofit in the US that provides technical support for PRS for UC throughout the US (n = 851). The cross-sectional research design includes a binomial logit regression model. Older UC have higher odds of reporting educational services as a primary need and UC placed with their mothers have lower odds of reporting education services as a primary need. The results can inform how education professionals and social services assess the needs of vulnerable immigrants. For example, older UC may require additional support with navigating barriers for accessing education. Conversely, UC who are placed with their mother may require less support with accessing education. Future research includes examining education levels and need for education support, and qualitative methods that describe how family dynamics inform the need for education services.",False,"The paper focuses on unaccompanied immigrant children (typically asylum seekers/refugees) and their educational service needs, without addressing labor migration, work conditions, or families of migrant workers.",TRUE,
38925,"Pesticides, Migrant Farm Workers, and Corporate Agriculture: How Social Work Can Promote Environmental Justice","Since Rachel Carson's expose on harmful pesticides in the 1960s, the use of these contaminants has multiplied. In a neoliberal system of agriculture, corporate agriculture dominates the cultivation and production of most foods available for purchase and consumption. With profit being the primary goal, environmental and human concerns are not priorities. This article discusses the consequences of pesticide use, both for the environment and for migrant farm workers who cultivate most crops in the United States. Social work concerns are discussed in relation to social and environmental justice, and alternative approaches are considered that are consistent with ecological social work principles.",True,"The paper explicitly focuses on migrant farm workers as a specific occupational group, examining their labor conditions (pesticide exposure) and advocating for social work interventions on their behalf, with work/employment central to the analysis.",FALSE,
115272,Migrant healthcare assistants’ decision to work in long-term care,"In high-income countries, population ageing has a significant impact on the labour force and care demands. As a result, the tendency is to rely on migrant workers to meet workforce and care demands. Drawing on insights from Bronfenbrenner’s ecological systems theory, this study focused on unskilled migrant healthcare assistants in Norway’s long-term care. The objectives were to explore factors influencing the decision of unskilled migrant healthcare assistants to work in elderly care, sources of knowledge about work in elderly care, and challenges encountered in elderly care work. The key research questions were as follows: a) What factors influence the decision of migrant healthcare assistants to work in elderly care? b) What are the sources of knowledge/information about work in elderly care for migrant healthcare assistants? c) What are some of the challenges of working in elderly care for migrant healthcare assistants? Qualitative research and purposive sampling were used to recru",True,"The paper explicitly focuses on migrant healthcare assistants, their decision to work in long-term care, and their work experiences, directly addressing labor migration and specific occupational experiences of migrant workers.",TRUE,
60650,Familial Tensions: Morphing Gender Relations of Power Among Tajik Migrant Workers in Russia,"International labor migration impacts gender relations between migrant workers and their families. Social workers need a more nuanced understanding of the gendered aspects of international migration for developing ethical social work practices and research. This article discusses morphing gender relations of power within the family context. The data presented in this paper originated from conversational interviews that were conducted in Tajikistan and Russia. Using social constructivism and intersectionality as the main theoretical approaches, this paper illustrates how male-male, male-female, and female-female gender relations are constantly negotiated and renegotiated within the family in the midst of labor mobility. This distinct understanding is critical for social workers who work with migrant workers and their families both locally and globally.",True,"The paper explicitly focuses on Tajik migrant workers in Russia, examining how labor migration impacts gender relations and family dynamics, with direct implications for social work practice with migrant worker populations.",TRUE,
98500,Practice with immigrants and refugees: Social worker and client perspectives,"Immigrant clients and their social workers can provide useful insights regarding elements of productive practice. Thirteen social workers and 19 clients were interviewed about their experiences. Two major themes were derived: Multifaceted Perception of Self and Other, as revealed in multiple connection pathways, multiple levels of cultural incorporation, and multiple communication avenues, and Proactive Service Provision through cultural bridging, brokering for services, and advocacy for system sensitivity. Practice implications are discussed. © 2001 by The Haworth Press, Inc. All rights reserved.",False,"The paper focuses on general social work practice with immigrants and refugees, emphasizing cultural bridging and service provision, without addressing work, employment, or labor dimensions of migration.",TRUE,
66154,Life Satisfaction of Rural Migrant Workers in Urban China: The Roles of Community Service Participation and Identity Integration,"China is home to approximately 245 million rural-to-urban migrant workers. The influx of migrants into urban areas has posed various challenges for local social service systems. Recently, increasing number of community services have been developed to meet the growing service demands from the migrant population. However, whether increase in community service use results in improved wellbeing among migrant workers remains critically unexplored. As such, this study examines the role of community service use in migrant workers' life satisfaction and the potential mediating effect of identity integration in Shenzhen, China. Bootstrapped models were adopted to examine relationship among variables. Drawing from a sample of 1,087 rural-to-urban migrant workers, we found that community service use is positively correlated with both identity integration and migrant workers' life satisfaction. Moreover, identity integration served as a partial mediator between community service use and life satisfaction. The mediating effect of identity integration was found to increase with age. This study highlights that diverse services should be implemented to address divergent needs of migrants in different age groups. Community service can also serve as a vehicle to foster integration among migrant workers in host communities, especially for older age groups. Future studies may further investigate the relationships between community social capital, community social support, quality of community-based organization and frequency of service use so as to optimize the life satisfaction of migrant workers.",True,"The paper explicitly focuses on rural-to-urban migrant workers in China, examining community services designed for this population and their effects on life satisfaction, with identity integration as a mediator—directly addressing services for migrant worker populations as specified in the relevance criteria.",TRUE,
